abdomen,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The part of the body of a vertebrate containing the digestive and reproductive organs; the belly.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">stomach</strong><span class=""syn"">, belly, gut, middle, midriff, intestines</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Zoology </span><span class=""ind"">The hinder part of the body of an arthropod, especially the segments of an insect's body behind the thorax.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
surveyor,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A person who examines the condition of land and buildings professionally.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">passenger</strong><span class=""syn"">, tourist, tripper, tourer, journeyer, voyager, excursionist, holidaymaker, sightseer, visitor, globetrotter, jet-setter</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions spanish_label"">British </span><span class=""ind"">An official inspector of something, especially for measurement and valuation purposes.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘surveyors recorded the species and locations of fallen trees’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">examiner</strong><span class=""syn"">, checker, scrutinizer, scrutineer, investigator, surveyor, assessor, appraiser, reviewer, analyst</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""ind"">A person who investigates or examines something, especially boats for seaworthiness.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘a marine surveyor’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">inspector</strong><span class=""syn"">, examiner, inquirer, explorer, analyst, analyser</span></div></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">proper noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A series of unmanned American spacecraft sent to the moon between 1966 and 1968, five of which successfully made soft landings.</span></p><span class=""indicators""></span></div></li></ul></section>"
suspender,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">plural noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""sense-regions"">British </span><span class=""ind"">An elastic strap attached to a belt or garter, fastened to the top of a stocking to hold it up.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-regions"">North American </span><span class=""ind"">A pair of straps that pass over the shoulders and fasten to the waistband of a pair of trousers or a skirt at the front and back to hold it up; braces.</span></p><span class=""indicators""></span></div></li></ul></section>"
sustenance,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Food and drink regarded as a source of strength; nourishment.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘poor rural economies turned to potatoes for sustenance’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">nourishment</strong><span class=""syn"">, food, nutriment, nutrition, fare, diet, daily bread, provisions, rations, means of keeping body and soul together</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">The maintaining of someone or something in life or existence.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he kept two or three cows for the sustenance of his family’</em></div></div><div class=""exg""><div class=""ex""><em>‘the sustenance of parliamentary democracy’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">support</strong><span class=""syn"">, maintenance, keep, means of support, means, living, livelihood, subsistence, income, source of income</span></div></div></div></li></ul></p></div></li></ul></section>"
swerve,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Change or cause to change direction abruptly.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a lorry swerved across her path’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">with object</span></u> <em>‘O'Hara swerved the motorcycle round the corner’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">veer</strong><span class=""syn"">, change direction, go off course, deviate, skew, diverge, sheer, curve, twist, weave, zigzag, turn aside, branch off, sidetrack</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An abrupt change of direction.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘do not make sudden swerves, particularly around parked vehicles’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><u><span class=""grammatical_note"">mass noun</span></u> <span class=""ind"">Divergence from a straight course imparted to a ball or other object, especially in soccer, cricket, or snooker.</span><div class=""trg""></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">curve</strong><span class=""syn"">, curl, bend, deviation, twist, change of direction</span></div></div></div></li></ul></p></div></li></ul></section>"
symmetrical,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Made up of exactly similar parts facing each other or around an axis; showing symmetry.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the shape of a hill, smooth and symmetrical’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">regular</strong><span class=""syn"">, uniform, consistent</span></div><div><strong class=""syn"">well balanced</strong><span class=""syn"">, balanced, well proportioned, proportional, in proportion, regular, even, harmonious</span></div></div></div></div></li></ul></section>"
symmetry,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>symmetries</span></span></span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The quality of being made up of exactly similar parts facing each other or around an axis.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘this series has a line of symmetry through its centre’</em></div></div><div class=""exg""><div class=""ex""><em>‘a crystal structure with hexagonal symmetry’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">regularity</strong><span class=""syn"">, evenness, uniformity, equilibrium, consistency, congruity, conformity, agreement, correspondence, orderliness, equality</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Correct or pleasing proportion of the parts of a thing.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the overall symmetry makes the poem pleasant to the ear’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">balance</strong><span class=""syn"">, proportions, regularity, evenness of form, harmony, harmoniousness, consonance, concord, coordination</span></div></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""ind"">Similarity or exact correspondence between different things.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the political symmetry between the two debates’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">count noun</span></u> <em>‘history sometimes exhibits weird symmetries between events’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.3</span><span class=""sense-regions domain_labels"">Physics Mathematics </span><u><span class=""grammatical_note"">count noun</span></u> <span class=""ind"">A law or operation where a physical property or process has an equivalence in two or more directions.</span><div class=""trg""></div></li></ul></p></div></li></ul></section>"
synthesis,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span><span class=""pos-inflections""><span class=""inflection-text""><span>syntheses</span></span></span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">The combination of components or elements to form a connected whole.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the synthesis of intellect and emotion in his work’</em></div></div><div class=""crossReference"">Often contrasted with <a>analysis</a></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">count noun</span></u> <em>‘the ideology represented a synthesis of certain ideas’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">combination</strong><span class=""syn"">, union, amalgam, blend, mixture, compound, fusion, coalescence, composite, concoction, conglomerate, alloy</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions domain_labels"">Grammar </span><span class=""ind"">The process of making compound and derivative words.</span><div class=""trg""></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""sense-regions domain_labels"">Linguistics </span><span class=""ind"">The tendency in a language to use inflected forms rather than word order to express grammatical structure.</span><div class=""trg""></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">The production of chemical compounds by reaction from simpler materials.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the synthesis of methanol from carbon monoxide and hydrogen’</em></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""ind"">(in Hegelian philosophy) the final stage in the process of dialectical reasoning, in which a new idea resolves the conflict between thesis and antithesis.</span></p><span class=""indicators""></span></div></li></ul></section>"
syrup,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><u><span class=""grammatical_note"">mass noun</span></u> <span class=""ind"">A thick, sweet liquid made by dissolving sugar in boiling water, often used for preserving fruit.</span></p><span class=""indicators""></span><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A thick, sweet liquid containing medicine or used as a drink.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘cough syrup’</em></div></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""ind"">A thick, sticky liquid obtained from sugar cane as part of the processing of sugar.</span><div class=""trg""></div></li><li class=""subSense""><span class=""subsenseIteration"">1.3</span><span class=""ind"">Excessive sweetness or sentimentality of style or manner.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘Mr Gurney's poems are almost all of them syrup’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-regions"">British </span><span class=""sense-registers"">informal </span><span class=""ind"">A wig.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he has been bald for the past twenty years, his shame concealed by a syrup of some opulence’</em></div></div></div></li></ul></section>"
tab,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A small flap or strip of material attached to or projecting from something, used to hold, fasten, or manipulate it, or for identification and information.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">tag</strong><span class=""syn"">, flap, loop, lappet, label</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions spanish_label"">British </span><span class=""sense-regions domain_labels"">Military </span><span class=""ind"">A marking on the collar distinguishing an officer of high rank or (formerly) a staff officer.</span><div class=""trg""></div></li><li class=""subSense""><span class=""subsenseIteration"">1.2</span><span class=""sense-regions spanish_label"">North American </span><span class=""ind"">A strip or ring of metal attached to the top of a canned drink and pulled to open the can.</span><div class=""trg""></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-regions domain_labels"">Computing </span><br/><span class=""ind"">A second or further document or page that can be opened on a spreadsheet or web browser.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-regions"">North American </span><span class=""sense-registers"">informal </span><span class=""ind"">A restaurant bill.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the waiter brought three drinks and a new tab’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">bill</strong><span class=""syn"">, invoice, account, statement, list of charges, note of charges, charge, reckoning, tally</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">3.1</span><span class=""ind"">A tally of items ordered in a bar or restaurant.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘Bobby had told the barman to put everything on the tab’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">4</span><span class=""form-groups""><strong>tabs</strong></span><div class=""crossReference"">short for <a>tableau curtains</a></div></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">5</span><span class=""sense-regions domain_labels"">Aeronautics </span><br/><span class=""ind"">A part of a control surface, typically hinged, that modifies the action or response of the surface.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">6</span><span class=""sense-regions"">Northern English </span><span class=""sense-registers"">informal </span><span class=""ind"">A cigarette.</span></p><span class=""indicators""></span><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ciggy</strong><span class=""syn"">, cig, tab, tube, smoke, cancer stick, coffin nail</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span><span class=""pos-inflections""><span class=""inflection-text""><span>tabs, </span></span><span class=""inflection-text""><span>tabbing, </span></span><span class=""inflection-text""><span>tabbed</span></span></span></h3><span class=""transitivity""><span class=""neutral"">[</span>with object<span class=""neutral"">]</span></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Mark or identify with a projecting piece of material.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he opened the book at a page tabbed by a cloth bookmark’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""sense-regions spanish_label"">North American </span><span class=""ind"">Identify as being of a specified type or suitable for a specified position.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘he was tabbed by the President as the next Republican National Committee chairman’</em></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A facility in a word-processing program, or a device on a keyboard, for advancing to a sequence of set positions in tabular work.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">as modifier</span></u> <em>‘the tab key’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span><span class=""pos-inflections""><span class=""inflection-text""><span>tabs, </span></span><span class=""inflection-text""><span>tabbing, </span></span><span class=""inflection-text""><span>tabbed</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">Use the tab key on a computer or typewriter keyboard.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the user can tab to the phrase and press Enter’</em></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><div class=""crossReference"">short for <a>tabulate</a></div></p><span class=""indicators""></span></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><span class=""sense-registers"">informal </span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A tablet, especially one containing an illicit drug.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he faced charges of attempting to export Ecstasy tabs’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><span class=""sense-registers"">informal </span><span class=""sense-regions spanish_label"">North American </span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A tabloid newspaper.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘she tries to cover up his peccadillos before they make the tabs' front pages’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><div class=""empty_sense""><div class=""crossReference"">short for <a>tablature</a></div><div class=""exg""><div class=""ex""><em>‘get tips on learning how to read guitar tab’</em></div></div><div class=""crossReference"">short for <a>tablature</a></div></div></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">abbreviation</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""sense-regions"">Australian, New Zealand </span><span class=""ind"">Totalizator Agency Board.</span></p><span class=""indicators""></span></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Typhoid–paratyphoid A and B vaccine.</span></p><span class=""indicators""></span></div></li></ul></section>"
tactful,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Having or showing skill and sensitivity in dealing with others or with difficult issues.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they need a tactful word of advice’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">considerate</strong><span class=""syn"">, sensitive, understanding, thoughtful, delicate, diplomatic, discreet, discerning, judicious, politic, perceptive, subtle, careful, treating someone with kid gloves, treating something with kid gloves</span></div></div></div></div></li></ul></section>"
tactic,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">An action or strategy carefully planned to achieve a specific end.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the minority attempted to control the Council by a delaying tactic’</em></div></div><div class=""exg""><div class=""ex""><em>‘these are possible tax-saving tactics to discuss with your accountant’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">strategy</strong><span class=""syn"">, scheme, stratagem, plan, set of tactics, manoeuvre, course of action, line of action</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><u><span class=""grammatical_note"">also treated as singular</span></u> <span class=""ind"">The art of disposing armed forces in order of battle and of organizing operations, especially during contact with an enemy.</span><div class=""trg""><div class=""crossReference"">Often contrasted with <a>strategy</a></div></div><div class=""exg""><div class=""ex""><em>‘basic infantry tactics were taught by guest instructors’</em></div></div><div class=""crossReference"">Often contrasted with <a>strategy</a></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">battle plans</strong><span class=""syn"">, plans, game plans</span></div></div></div></li></ul></p></div></li></ul></section>"
tactical,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">adjective</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">Relating to or constituting actions carefully planned to gain a specific military end.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘as a tactical officer in the field he had no equal’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">(of bombing or weapons) done or for use in immediate support of military or naval operations.</span><div class=""trg""><div class=""crossReference"">Often contrasted with <a>strategic</a></div></div><div class=""exg""><div class=""ex""><em>‘NATO already has about 7,000 tactical nuclear weapons in Europe’</em></div></div><div class=""crossReference"">Often contrasted with <a>strategic</a></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">Showing adroit planning; aiming at an end beyond the immediate action.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘in a tactical retreat, she moved into a hotel with her daughters’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">calculated</strong><span class=""syn"">, planned, plotted, prudent, strategic, politic, diplomatic, judicious, shrewd, skilful, adroit, clever, smart, cunning, artful, wily</span></div></div></div></div></li><li><div class=""trg""><p><span class=""iteration"">3</span><span class=""sense-regions"">British </span><span class=""ind"">(of voting) aimed at preventing the strongest candidate from winning by supporting the next strongest, without regard to one's true political allegiance.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Labour supporters in the city organized a tactical voting campaign’</em></div></div></div></li></ul></section>"
tangle,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><u><span class=""grammatical_note"">with object</span></u> <span class=""ind"">Twist together into a confused mass.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the broom somehow got tangled up in my long skirt’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">ravelled</strong><span class=""syn"">, entangled, snarled, snarled up, entwined, intertwisted, twisted, knotted, knotty, enmeshed, coiled, matted, tangly, messy, muddled</span></div><div><strong class=""syn"">entangle</strong><span class=""syn"">, snarl, catch, entwine, intertwine, intertwist, twist, ravel, knot, enmesh, coil, mat, jumble, muddle</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">Make (something) complicated or confused.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘a ploy to tangle matters even further’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">confused</strong><span class=""syn"">, jumbled, mixed up, messy, chaotic, scrambled, complicated, involved, convoluted, complex, intricate, knotty, tortuous, devious, maze-like, labyrinthine</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""form-groups""><strong>tangle with</strong></span><span class=""sense-registers"">informal </span><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">Become involved in a conflict or fight with.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘they usually come a cropper when they tangle with the heavy mobs’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">come into conflict</strong><span class=""syn"">, become involved, have a dispute, dispute, argue, quarrel, fight, row, wrangle, squabble, contend, cross swords, lock horns</span></div></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A confused mass of something twisted together.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘a tangle of golden hair’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">snarl</strong><span class=""syn"">, mass, mat, cluster, knot, mesh, disorder, thatch, web</span></div></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A confused or complicated state; a muddle.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘the home team's defence got into an awful tangle’</em></div></div><div class=""synonyms""><div class=""moreInfo""></div><div class=""exg""><div><strong class=""syn"">muddle</strong><span class=""syn"">, jumble, mix-up, confusion, entanglement, mishmash, shambles, scramble</span></div></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""sense-registers"">informal </span><span class=""ind"">A fight, argument, or disagreement.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘she got into a tangle with staff’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><u><span class=""grammatical_note countability"">mass noun</span></u><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">Any of a number of brown seaweeds, especially oarweed.</span></p><span class=""indicators""></span></div></li></ul></section>"
tee,"<section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><div class=""empty_sense""><div class=""crossReference"">see <a>T</a> (sense 2)</div></div></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""ind"">A cleared space on a golf course, from which the ball is struck at the beginning of play for each hole.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘he smashes the ball off the 15th tee’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">as modifier</span></u> <em>‘a tee shot’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><span class=""ind"">A small peg with a concave head which can be placed in the ground to support a golf ball before it is struck from a tee.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘I carry three tees in my pocket’</em></div></div></li></ul></p></div></li><li><div class=""trg""><p><span class=""iteration"">2</span><span class=""ind"">A mark aimed at in bowls, quoits, curling, and other similar games.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘Nowadays the curling 'tee' is the line through the centre of the 'house' in curling and is in fact the target not the release line, which is the 'hog' line.’</em></div></div><div class=""exg""><div class=""ex""><em>‘Two men played two quoits each against each other throwing them a distance of 18 yards, in aiming the quoit he was assisted by a ""leader in"" who crouched behind the tee holding a piece of paper.’</em></div></div></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">verb</span><span class=""pos-inflections""><span class=""inflection-text""><span>tees, </span></span><span class=""inflection-text""><span>teeing, </span></span><span class=""inflection-text""><span>teed</span></span></span></h3><span class=""transitivity""></span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration"">1</span><span class=""form-groups"">usually <strong>tee up"" or ""tee something up</strong></span><span class=""sense-regions domain_labels"">Golf </span><br/><u><span class=""grammatical_note"">no object</span></u> <span class=""ind"">Place the ball on a tee ready to make the first stroke of the round or hole.</span></p><span class=""indicators""></span><div class=""exg""><div class=""ex""><em>‘the two teenagers will be teeing up for Great Britain and Ireland in the Curtis Cup’</em></div></div><div class=""exg""><div class=""ex""><u><span class=""grammatical_note"">with object</span></u> <em>‘Jack teed the ball up’</em></div></div><p><ul class=""subSenses""><li class=""subSense""><span class=""subsenseIteration"">1.1</span><u><span class=""grammatical_note"">with object</span></u> <span class=""ind"">(especially in soccer) place or move the ball into position to be struck by another player.</span><div class=""trg""></div><div class=""exg""><div class=""ex""><em>‘Parkin teed up Smith to strike again’</em></div></div><div class=""exg""><div class=""ex""><em>‘Owen teed up the ball for Emile Heskey’</em></div></div></li></ul></p></div></li></ul></section><hr><section class=""gramb""><h3 class=""ps pos""><span class=""pos"">noun</span></h3><span class=""transitivity""></span><span class=""sense-registers"">informal </span><ul class=""semb""><li><div class=""trg""><p><span class=""iteration""></span><span class=""ind"">A T-shirt.</span></p><span class=""indicators""></span></div></li></ul></section>"
